UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 11:32 ?        00:00:00 /sbin/init splash
root           2       0  0 11:32 ?        00:00:00 [kthreadd]
root           3       2  0 11:32 ?        00:00:00 [rcu_gp]
root           4       2  0 11:32 ?        00:00:00 [rcu_par_gp]
root           5       2  0 11:32 ?        00:00:00 [slub_flushwq]
root           6       2  0 11:32 ?        00:00:00 [netns]
root           7       2  0 11:32 ?        00:00:00 [kworker/0:0-cgroup_destroy]
root           8       2  0 11:32 ?        00:00:00 [kworker/0:0H-events_highpri]
root          10       2  0 11:32 ?        00:00:00 [mm_percpu_wq]
root          11       2  0 11:32 ?        00:00:00 [rcu_tasks_kthread]
root          12       2  0 11:32 ?        00:00:00 [rcu_tasks_rude_kthread]
root          13       2  0 11:32 ?        00:00:00 [rcu_tasks_trace_kthread]
root          14       2  0 11:32 ?        00:00:00 [ksoftirqd/0]
root          15       2  0 11:32 ?        00:00:00 [rcu_preempt]
root          16       2  0 11:32 ?        00:00:00 [migration/0]
root          17       2  0 11:32 ?        00:00:00 [idle_inject/0]
root          18       2  0 11:32 ?        00:00:01 [kworker/0:1-events]
root          19       2  0 11:32 ?        00:00:00 [cpuhp/0]
root          20       2  0 11:32 ?        00:00:00 [kdevtmpfs]
root          21       2  0 11:32 ?        00:00:00 [inet_frag_wq]
root          22       2  0 11:32 ?        00:00:00 [kauditd]
root          23       2  0 11:32 ?        00:00:00 [khungtaskd]
root          24       2  0 11:32 ?        00:00:00 [oom_reaper]
root          25       2  0 11:32 ?        00:00:01 [kworker/u2:1-events_unbound]
root          26       2  0 11:32 ?        00:00:00 [writeback]
root          27       2  0 11:32 ?        00:00:00 [kcompactd0]
root          28       2  0 11:32 ?        00:00:00 [ksmd]
root          29       2  0 11:32 ?        00:00:00 [khugepaged]
root          30       2  0 11:32 ?        00:00:00 [kintegrityd]
root          31       2  0 11:32 ?        00:00:00 [kblockd]
root          32       2  0 11:32 ?        00:00:00 [blkcg_punt_bio]
root          33       2  0 11:32 ?        00:00:00 [tpm_dev_wq]
root          34       2  0 11:32 ?        00:00:00 [ata_sff]
root          35       2  0 11:32 ?        00:00:00 [md]
root          36       2  0 11:32 ?        00:00:00 [edac-poller]
root          37       2  0 11:32 ?        00:00:00 [devfreq_wq]
root          38       2  0 11:32 ?        00:00:00 [watchdogd]
root          39       2  0 11:32 ?        00:00:00 [kworker/0:1H-kblockd]
root          40       2  0 11:32 ?        00:00:00 [kswapd0]
root          41       2  0 11:32 ?        00:00:00 [ecryptfs-kthread]
root          48       2  0 11:32 ?        00:00:00 [kthrotld]
root          52       2  0 11:32 ?        00:00:00 [acpi_thermal_pm]
root          53       2  0 11:32 ?        00:00:00 [xenbus_probe]
root          54       2  0 11:32 ?        00:00:00 [scsi_eh_0]
root          55       2  0 11:32 ?        00:00:00 [scsi_tmf_0]
root          56       2  0 11:32 ?        00:00:00 [scsi_eh_1]
root          57       2  0 11:32 ?        00:00:00 [scsi_tmf_1]
root          58       2  0 11:32 ?        00:00:00 [vfio-irqfd-clea]
root          59       2  0 11:32 ?        00:00:00 [kworker/u2:3-events_power_efficient]
root          60       2  0 11:32 ?        00:00:00 [mld]
root          61       2  0 11:32 ?        00:00:00 [ipv6_addrconf]
root          66       2  0 11:32 ?        00:00:00 [kstrp]
root          72       2  0 11:32 ?        00:00:00 [zswap-shrink]
root          73       2  0 11:32 ?        00:00:00 [kworker/u3:0]
root         119       2  0 11:32 ?        00:00:00 [charger_manager]
root         159       2  0 11:32 ?        00:00:00 [scsi_eh_2]
root         161       2  0 11:32 ?        00:00:00 [scsi_tmf_2]
root         185       2  0 11:32 ?        00:00:00 [jbd2/sda3-8]
root         186       2  0 11:32 ?        00:00:00 [ext4-rsv-conver]
root         225       1  0 11:32 ?        00:00:00 /lib/systemd/systemd-journald
root         259       2  0 11:32 ?        00:00:00 [irq/18-vmwgfx]
root         260       2  0 11:32 ?        00:00:00 [card0-crtc0]
root         263       2  0 11:32 ?        00:00:00 [card0-crtc1]
root         266       2  0 11:32 ?        00:00:00 [card0-crtc2]
root         267       2  0 11:32 ?        00:00:00 [card0-crtc3]
root         270       2  0 11:32 ?        00:00:00 [card0-crtc4]
root         271       2  0 11:32 ?        00:00:00 [card0-crtc5]
root         273       2  0 11:32 ?        00:00:00 [card0-crtc6]
root         274       2  0 11:32 ?        00:00:00 [card0-crtc7]
root         285       1  0 11:32 ?        00:00:00 /lib/systemd/systemd-udevd
root         324       2  0 11:32 ?        00:00:00 [cryptd]
root         329       2  0 11:32 ?        00:00:00 [kworker/u2:6-events_power_efficient]
systemd+     426       1  0 11:32 ?        00:00:00 /lib/systemd/systemd-oomd
systemd+     427       1  0 11:32 ?        00:00:00 /lib/systemd/systemd-resolved
systemd+     428       1  0 11:32 ?        00:00:00 /lib/systemd/systemd-timesyncd
root         566       1  0 11:32 ?        00:00:00 /usr/libexec/accounts-daemon
root         567       1  0 11:32 ?        00:00:00 /usr/sbin/acpid
avahi        570       1  0 11:32 ?        00:00:00 avahi-daemon: running [Ubuntu.local]
root         572       1  0 11:32 ?        00:00:00 /usr/sbin/cron -f -P
message+     575       1  0 11:32 ?        00:00:00 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         577       1  0 11:32 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root         589       1  0 11:32 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root         593       1  0 11:32 ?        00:00:00 /usr/libexec/polkitd --no-debug
root         595       1  0 11:32 ?        00:00:00 /usr/libexec/power-profiles-daemon
syslog       600       1  0 11:32 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root         604       1  0 11:32 ?        00:00:00 /usr/lib/snapd/snapd
root         607       1  0 11:32 ?        00:00:00 /usr/libexec/switcheroo-control
root         609       1  0 11:32 ?        00:00:00 /lib/systemd/systemd-logind
root         614       1  0 11:32 ?        00:00:00 /usr/libexec/udisks2/udisksd
root         616       1  0 11:32 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
avahi        634     570  0 11:32 ?        00:00:00 avahi-daemon: chroot helper
root         658       1  0 11:32 ?        00:00:00 /usr/sbin/ModemManager
root         662       1  0 11:32 ?        00:00:00 /usr/sbin/cupsd -l
root         684       1  0 11:32 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root         694       1  0 11:32 ?        00:00:00 /usr/sbin/gdm3
